ID,Type,On,Off
S1011,tGUI,8:56:57,8:57:19
S1011,tGUI,8:57:27,8:57:39
S1011,tGUI,8:58:57,8:59:03
S1011,tGUI,8:59:03,8:59:10
S1011,tGUI,8:59:27,8:59:31
S1011,tGUI,8:59:57,9:00:06
S1011,tGUI,9:00:27,9:00:33
S1011,tGUI,9:01:09,9:01:11
S1011,tGUI,9:02:34,9:02:41
S1011,tGUI,9:03:12,9:03:22
S1011,tGUI,9:03:27,9:03:29
S1011,tGUI,9:03:57,9:03:59
S1011,tGUI,9:04:27,9:04:33
S1011,tGUI,9:04:34,9:04:39
S1011,tGUI,9:04:40,9:04:51
S1011,tGUI,9:05:27,9:05:30
S1011,tGUI,9:05:57,9:06:03
S1011,tGUI,9:06:27,9:06:46
S1011,tGUI,9:06:57,9:07:11
S1011,tGUI,9:07:12,9:07:23
S1011,tGUI,9:08:05,9:08:21
S1011,tGUI,9:09:27,9:09:43
S1011,tGUI,9:11:57,9:12:17
S1011,tGUI,9:13:03,9:13:09
S1011,tGUI,9:15:57,9:16:01
S1011,tGUI,9:16:57,9:17:20
S1011,tGUI,9:19:37,9:19:40
S1011,tGUI,9:20:27,9:20:42
S1011,tGUI,9:22:09,9:22:11
S1011,tGUI,9:22:27,9:22:39
S1011,tGUI,9:23:27,9:23:29
S1011,tGUI,9:23:29,9:23:36
S1011,tGUI,9:24:57,9:25:05
S1011,tGUI,9:25:06,9:25:12
S1011,tGUI,9:25:57,9:26:02
S1011,tGUI,9:26:27,9:26:30
S1011,tGUI,9:26:40,9:26:45
S1011,tGUI,9:26:46,9:26:57
S1011,tGUI,9:26:59,9:27:08
S1011,tGUI,9:27:10,9:27:18
S1011,tGUI,9:27:27,9:27:33
S1011,tGUI,9:27:57,9:28:00
S1011,tGUI,9:28:00,9:28:17
S1011,tGUI,9:28:27,9:28:29
S1011,tGUI,9:28:32,9:28:40
S1011,tGUI,9:28:57,9:29:15
S1011,tGUI,9:29:27,9:29:53
S1011,tGUI,9:30:57,9:31:15
S1011,tGUI,9:31:22,9:31:24
S1011,tGUI,9:31:44,9:31:45
S1011,tGUI,9:31:57,9:31:58
S1011,tGUI,9:32:04,9:32:10
S1011,tGUI,9:32:27,9:32:47
S1011,tGUI,9:33:35,9:33:49
S1011,tGUI,9:33:51,9:33:57
S1011,tGUI,9:34:27,9:34:52
S1011,tGUI,9:34:57,9:35:08
S1011,tGUI,9:35:15,9:35:18
S1011,tGUI,9:35:27,9:35:41
S1011,tGUI,9:35:47,9:35:48
S1011,tGUI,9:35:57,9:35:57
S1011,tGUI,9:35:57,9:36:06
S1011,tGUI,9:36:16,9:36:21
S1011,tGUI,9:36:27,9:36:29
S1011,tGUI,9:36:57,9:36:58
S1011,tGUI,9:37:02,9:37:10
S1011,tGUI,9:37:12,9:37:16
S1011,tGUI,9:37:18,9:37:22
S1011,tGUI,9:37:27,9:37:31
S1011,tGUI,9:37:31,9:37:49
S1011,tGUI,9:37:57,9:38:02
S1011,tGUI,9:38:16,9:38:22
S1011,tGUI,9:38:24,9:38:27
S1011,tGUI,9:38:28,9:38:29
S1011,tGUI,9:38:31,9:38:37
S1011,tGUI,9:38:41,9:38:57
S1011,tGUI,9:38:58,9:39:27
S1011,tGUI,9:39:29,9:39:39
S1011,tGUI,9:39:42,9:39:44
S1011,tGUI,9:39:57,9:40:21
S1011,tGUI,9:40:27,9:40:39
S1011,tGUI,9:40:44,9:40:55
S1011,tGUI,9:40:57,9:40:58
S1011,tGUI,9:41:03,9:41:07
S1011,tGUI,9:41:27,9:41:40
S1011,tGUI,9:41:45,9:41:57
S1011,tGUI,9:42:08,9:42:17
S1011,tGUI,9:42:20,9:42:23
S1011,tGUI,9:42:27,9:42:30
S1011,tGUI,9:42:34,9:42:36
S1011,tGUI,9:42:57,9:43:00
S1011,tGUI,9:43:08,9:43:21
S1011,tGUI,9:43:27,9:43:37
S1011,tGUI,9:43:38,9:43:40
S1011,tGUI,9:43:40,9:43:51
S1011,tGUI,9:43:57,9:43:57
S1011,tGUI,9:44:04,9:44:57
S1011,tGUI,9:45:06,9:46:27
S1011,EMG,8:38:50,8:38:51
S1011,EMG,8:38:52,8:38:52
S1011,EMG,8:39:15,8:39:16
S1011,EMG,8:39:19,8:39:21
S1011,EMG,8:39:22,8:39:23
S1011,EMG,8:40:17,8:40:19
S1011,EMG,8:40:20,8:40:20
